School	City	County	Private_Public	College	Applied	Admitted	Enrolled	Admit_Rate_%	Rank_Within_Type	Overall_Rank	African_American_Applied	African_American_Admitted	African_American_Enrolled	African_American_Admit_Rate_%	American_Indian_Applied	American_Indian_Admitted	American_Indian_Enrolled	American_Indian_Admit_Rate_%	Hispanic_Latinx_Applied	Hispanic_Latinx_Admitted	Hispanic_Latinx_Enrolled	Hispanic_Latinx_Admit_Rate_%	Pacific_Islander_Applied	Pacific_Islander_Admitted	Pacific_Islander_Enrolled	Pacific_Islander_Admit_Rate_%	Asian_Applied	Asian_Admitted	Asian_Enrolled	Asian_Admit_Rate_%	White_Applied	White_Admitted	White_Enrolled	White_Admit_Rate_%	Domestic_Unknown_Applied	Domestic_Unknown_Admitted	Domestic_Unknown_Enrolled	Domestic_Unknown_Admit_Rate_%	International_Applied	International_Admitted	International_Enrolled	International_Admit_Rate_%
SAN JOSE HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	27	3	0	11.11	100	100	0	0	0	0.0	0	0	0	0.0	18	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LEIGH HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	136	15	11	11.03	49	64	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	85	12	9	14.12	30	0	0	0.0	5	0	0	0.0	0	0	0	0.0
AMERICAN HIGH SCHOOL	Fremont	Alameda	Public	UC Berkeley	300	33	23	11.0	50	65	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	235	26	18	11.06	8	0	0	0.0	23	6	5	26.09	22	0	0	0.0
SANTA CLARA HIGH SCHOOL	Santa Clara	Santa Clara	Public	UC Berkeley	92	10	8	10.87	51	66	5	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	60	8	7	13.33	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0
BASIS INDEPENDENT FREMONT UPPER SCH	Fremont	Alameda	Private	UC Berkeley	37	4	0	10.81	16	67	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	31	3	0	9.68	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CRISTO REY SAN JOSE JESUIT HS	San Jose	Santa Clara	Private	UC Berkeley	37	4	0	10.81	16	67	0	0	0	0.0	0	0	0	0.0	36	4	0	11.11	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MISSION SAN JOSE HIGH SCHOOL	Fremont	Alameda	Public	UC Berkeley	369	39	23	10.57	52	69	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	295	31	18	10.51	0	0	0	0.0	49	8	5	16.33	12	0	0	0.0
IRVINGTON HIGH SCHOOL	Fremont	Alameda	Public	UC Berkeley	328	34	23	10.37	53	70	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	263	27	20	10.27	6	0	0	0.0	31	5	0	16.13	18	0	0	0.0
MOREAU CATHOLIC HIGH SCHOOL	Hayward	Alameda	Private	UC Berkeley	87	9	0	10.34	18	71	7	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	58	8	0	13.79	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALAMEDA HIGH SCHOOL	Alameda	Alameda	Public	UC Berkeley	159	16	10	10.06	54	72	8	0	0	0.0	0	0	0	0.0	24	0	0	0.0	0	0	0	0.0	76	9	7	11.84	48	3	0	6.25	0	0	0	0.0	0	0	0	0.0
CASTRO VALLEY HIGH SCHOOL	Castro Valley	Alameda	Public	UC Berkeley	231	23	16	9.96	55	73	16	0	0	0.0	0	0	0	0.0	33	4	4	12.12	0	0	0	0.0	130	12	10	9.23	39	4	0	10.26	12	3	0	25.0	0	0	0	0.0
YERBA BUENA HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	63	6	5	9.52	56	74	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	56	6	5	10.71	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ADRIAN C WILCOX HIGH SCHOOL	Santa Clara	Santa Clara	Public	UC Berkeley	127	11	6	8.66	57	75	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	98	10	5	10.2	7	0	0	0.0	8	0	0	0.0	0	0	0	0.0
AMADOR VALLEY HIGH SCHOOL	Pleasanton	Alameda	Public	UC Berkeley	305	26	19	8.52	58	76	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	211	17	13	8.06	31	0	0	0.0	40	8	5	20.0	12	0	0	0.0
SAINT MARY'S COLLEGE HIGH SCHO	Berkeley	Alameda	Private	UC Berkeley	59	5	3	8.47	19	77	8	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	17	3	0	17.65	17	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KIPP SAN JOSE COLLEGIATE	San Jose	Santa Clara	Public	UC Berkeley	59	5	0	8.47	59	77	0	0	0	0.0	0	0	0	0.0	25	0	0	0.0	0	0	0	0.0	32	3	0	9.38	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAN LORENZO HIGH SCHOOL	San Lorenzo	Alameda	Public	UC Berkeley	36	3	0	8.33	100	100	5	0	0	0.0	0	0	0	0.0	20	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PIEDMONT HILLS HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	131	10	9	7.63	60	79	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	114	8	7	7.02	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0
FOOTHILL HIGH SCHOOL	Pleasanton	Alameda	Public	UC Berkeley	233	15	12	6.44	61	80	0	0	0	0.0	0	0	0	0.0	13	0	0	0.0	0	0	0	0.0	156	7	6	4.49	28	3	0	10.71	21	3	0	14.29	12	0	0	0.0
WASHINGTON HIGH SCHOOL	Fremont	Alameda	Public	UC Berkeley	144	7	4	4.86	62	81	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	108	6	3	5.56	11	0	0	0.0	7	0	0	0.0	10	0	0	0.0
GRANADA HIGH SCHOOL	Livermore	Alameda	Public	UC Berkeley	109	5	0	4.59	63	82	0	0	0	0.0	0	0	0	0.0	16	0	0	0.0	0	0	0	0.0	40	4	0	10.0	39	0	0	0.0	0	0	0	0.0	6	0	0	0.0
ANN SOBRATO HIGH SCHOOL	Morgan Hill	Santa Clara	Public	UC Berkeley	73	3	3	4.11	100	100	0	0	0	0.0	0	0	0	0.0	19	0	0	0.0	0	0	0	0.0	30	0	0	0.0	17	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAN LEANDRO HIGH SCHOOL	San Leandro	Alameda	Public	UC Berkeley	126	5	5	3.97	64	83	15	0	0	0.0	0	0	0	0.0	44	0	0	0.0	0	0	0	0.0	58	4	4	6.9	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALSION MONTESSORI MIDDLE/HIGH	Fremont	Alameda	Private	UC Berkeley	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
AVERROES HIGH SCHOOL	Fremont	Alameda	Private	UC Berkeley	14	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CALIFORNIA CROSSPOINT HIGH SCHOOL	Hayward	Alameda	Private	UC Berkeley	37	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	23	0	0	0.0	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0
FUSION ACADEMY-LOS GATOS	Los Gatos	Santa Clara	Private	UC Berkeley	6	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
GRANADA ISLAMIC SCHOOL	Santa Clara	Santa Clara	Private	UC Berkeley	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HOLY NAMES HIGH SCHOOL	Oakland	Alameda	Private	UC Berkeley	14	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KHAN LAB SCHOOL	Mountain View	Santa Clara	Private	UC Berkeley	13	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MAYBECK HIGH SCHOOL	Berkeley	Alameda	Private	UC Berkeley	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKWOOD SCHOOL	Morgan Hill	Santa Clara	Private	UC Berkeley	16	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
REDWOOD CHRISTIAN JR-SR HS	San Lorenzo	Alameda	Private	UC Berkeley	19	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
VALLEY CHRISTIAN HIGH SCHOOL	Dublin	Alameda	Private	UC Berkeley	14	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
WALDORF SCHOOL OF THE PENINSUL	Mountain View	Santa Clara	Private	UC Berkeley	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ACE CHARTER HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALPHA CINDY AVITIA HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	21	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	18	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALTERNATIVES IN ACTION HS	Oakland	Alameda	Public	UC Berkeley	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ASPIRE GOLDEN STATE PREP ACADEMY	Oakland	Alameda	Public	UC Berkeley	21	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
BAY AREA TECHNOLOGY-BAYTECH	Oakland	Alameda	Public	UC Berkeley	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CASTLEMONT HIGH SCHOOL	Oakland	Alameda	Public	UC Berkeley	15	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	11	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CIRCLE OF INDEPENDENT LEARNING	Fremont	Alameda	Public	UC Berkeley	6	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
DEL MAR HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	40	0	0	0.0	100	100	8	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
DOWNTOWN COLG PREP EL PRIMERO	San Jose	Santa Clara	Public	UC Berkeley	16	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
DOWNTOWN COLLEGE PREP ALUM ROC	San Jose	Santa Clara	Public	UC Berkeley	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
EMERY SECONDARY SCHOOL	Emeryville	Alameda	Public	UC Berkeley	15	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
HAYWARD TWIN OAKS MONTESSORI	Hayward	Alameda	Public	UC Berkeley	12	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
JAMES LICK HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KIPP NAVIGATE COLLEGE PREP	San Jose	Santa Clara	Public	UC Berkeley	11	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LATITUDE 37.8 HS MERRITT COLLEGE	Oakland	Alameda	Public	UC Berkeley	10	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LEADERSHIP PUBLIC SCH HAYWARD	Hayward	Alameda	Public	UC Berkeley	42	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	23	0	0	0.0	0	0	0	0.0	15	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LIVE OAK HIGH SCHOOL	Morgan Hill	Santa Clara	Public	UC Berkeley	26	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	8	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LPS OAKLAND R&D CAMPUS	Oakland	Alameda	Public	UC Berkeley	18	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	17	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LUIS VALDEZ LEADERSHIP ACADEMY	San Jose	Santa Clara	Public	UC Berkeley	12	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MILPITAS MIDDLE COLLEGE HS	Milpitas	Santa Clara	Public	UC Berkeley	15	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MISSION EARLY COLLEGE HIGH SCH	Santa Clara	Santa Clara	Public	UC Berkeley	18	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MOUNT EDEN HIGH SCHOOL	Hayward	Alameda	Public	UC Berkeley	58	0	0	0.0	100	100	7	0	0	0.0	0	0	0	0.0	21	0	0	0.0	0	0	0	0.0	27	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
MOUNT PLEASANT HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	16	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	11	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
NEA COMMUNITY LEARNING CENTER	Alameda	Alameda	Public	UC Berkeley	7	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND MILITARY INST COL PREP	Oakland	Alameda	Public	UC Berkeley	22	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ROBERTO CRUZ LEADERSHIP ACDMY	San Jose	Santa Clara	Public	UC Berkeley	8	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SOJOURNER TRUTH ACADEMY	Oakland	Alameda	Public	UC Berkeley	5	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
W C OVERFELT HIGH SCHOOL	San Jose	Santa Clara	Public	UC Berkeley	36	0	0	0.0	100	100	0	0	0	0.0	0	0	0	0.0	24	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ALAMEDA SCIENCE & TECHLGY INST	Alameda	Alameda	Public	UCLA	20	7	4	35.0	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	15	6	3	40.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND SCHOOL FOR THE ARTS	Oakland	Alameda	Public	UCLA	31	9	4	29.03	1	1	6	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	7	0	0	0.0	12	3	0	25.0	0	0	0	0.0	0	0	0	0.0
COLISEUM COLLEGE PREP ACADEMY	Oakland	Alameda	Public	UCLA	15	4	0	26.67	100	100	5	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
KEHILLAH JEWISH HIGH SCHOOL	Palo Alto	Santa Clara	Private	UCLA	27	6	0	22.22	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	22	5	0	22.73	0	0	0	0.0	0	0	0	0.0
SKYLINE HIGH SCHOOL	Oakland	Alameda	Public	UCLA	103	20	12	19.42	2	2	18	6	3	33.33	0	0	0	0.0	28	4	3	14.29	0	0	0	0.0	27	8	5	29.63	28	0	0	0.0	0	0	0	0.0	0	0	0	0.0
REDWOOD CHRISTIAN JR-SR HS	San Lorenzo	Alameda	Private	UCLA	16	3	0	18.75	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAN JOSE HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	17	3	0	17.65	100	100	0	0	0	0.0	0	0	0	0.0	11	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CRISTO REY DE LA SALLE E BAY	Oakland	Alameda	Private	UCLA	24	4	0	16.67	100	100	0	0	0	0.0	0	0	0	0.0	20	4	0	20.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
FREMONT HIGH SCHOOL	Oakland	Alameda	Public	UCLA	37	6	0	16.22	3	3	9	0	0	0.0	0	0	0	0.0	20	5	0	25.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
OAKLAND CHARTER HIGH SCHOOL	Oakland	Alameda	Public	UCLA	31	5	0	16.13	4	4	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0	0	0	0	0.0	17	4	0	23.53	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
BASIS INDEPENDENT SILICON VALL	San Jose	Santa Clara	Private	UCLA	88	14	3	15.91	1	5	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	74	14	3	18.92	5	0	0	0.0	9	0	0	0.0	0	0	0	0.0
OAK GROVE HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	32	5	4	15.62	5	6	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	21	5	4	23.81	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
LIVERMORE HIGH SCHOOL	Livermore	Alameda	Public	UCLA	58	8	4	13.79	6	7	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	30	7	4	23.33	14	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CALIFORNIA CROSSPOINT HIGH SCHOOL	Hayward	Alameda	Private	UCLA	38	5	5	13.16	2	8	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	22	4	4	18.18	0	0	0	0.0	0	0	0	0.0	10	0	0	0.0
HARKER SCHOOL	San Jose	Santa Clara	Private	UCLA	177	23	4	12.99	3	9	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	119	13	0	10.92	18	3	0	16.67	32	7	0	21.88	0	0	0	0.0
YERBA BUENA HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	54	7	4	12.96	7	10	0	0	0	0.0	0	0	0	0.0	5	0	0	0.0	0	0	0	0.0	48	6	4	12.5	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
IMPACT ACAD ARTS/TECHNOLOGY	Hayward	Alameda	Public	UCLA	31	4	0	12.9	8	11	0	0	0	0.0	0	0	0	0.0	19	0	0	0.0	0	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
PINEWOOD SCHOOL	Los Altos Hills	Santa Clara	Private	UCLA	24	3	0	12.5	100	100	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	17	3	0	17.65	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0
COLLEGE PREPARATORY SCHOOL	Oakland	Alameda	Private	UCLA	73	9	0	12.33	4	12	8	0	0	0.0	0	0	0	0.0	0	0	0	0.0	0	0	0	0.0	37	6	0	16.22	20	0	0	0.0	5	0	0	0.0	0	0	0	0.0
LIVE OAK HIGH SCHOOL	Morgan Hill	Santa Clara	Public	UCLA	25	3	0	12.0	100	100	0	0	0	0.0	0	0	0	0.0	7	0	0	0.0	0	0	0	0.0	7	0	0	0.0	6	0	0	0.0	0	0	0	0.0	0	0	0	0.0
CASTILLEJA SCHOOL	Palo Alto	Santa Clara	Private	UCLA	42	5	0	11.9	5	13	0	0	0	0.0	0	0	0	0.0	6	0	0	0.0	0	0	0	0.0	21	0	0	0.0	9	0	0	0.0	0	0	0	0.0	0	0	0	0.0
ABRAHAM LINCOLN HIGH SCHOOL	San Jose	Santa Clara	Public	UCLA	64	7	5	10.94	9	14	5	0	0	0.0	0	0	0	0.0	30	0	0	0.0	0	0	0	0.0	15	4	4	26.67	13	0	0	0.0	0	0	0	0.0	0	0	0	0.0
SAINT JOSEPH-NOTRE DAME HS	Alameda	Alameda	Private	UCLA	46	5	3	10.87	6	15	8	0	0	0.0	0	0	0	0.0	12	0	0	0.0	0	0	0	0.0	17	3	3	17.65	5	0	0	0.0	0	0	0	0.0	0	0	0	0.0
